drug_name,num_prescriber,total_cost
POTASSIUM CHLORIDE,733,1704313.95
ELIQUIS,192,3910948.0600000005
HEPARIN SODIUM,15,19089.03
THEOPHYLLINE ANHYDROUS,69,54915.0
GLIPIZIDE XL,150,82506.61000000002
SYMBICORT,366,4330355.640000003
CYCLOSPORINE MODIFIED,3,5853.610000000001
ADVAIR DISKUS,531,8359052.13
LISINOPRIL,1133,943065.3200000002
MECLIZINE HCL,282,123566.85000000008
ALLOPURINOL,607,520683.1700000006
ESTRADIOL,223,176674.69999999995
PRAVASTATIN SODIUM,735,1776364.5100000016
OMEPRAZOLE,1113,1751462.989999999
TRAZODONE HCL,743,377343.11000000045
DONEPEZIL HCL,518,567183.6000000001
TRIAMTERENE-HYDROCHLOROTHIAZID,437,210631.06
ONDANSETRON ODT,117,62427.829999999994
FELODIPINE ER,79,64110.43999999999
CIMZIA,7,423280.04
ANASTROZOLE,64,71695.54999999997
GLYBURIDE-METFORMIN HCL,32,15184.890000000001
ULTRACET,1,5733.31
BUPROPION HCL SR,266,180803.18000000002
DOXYCYCLINE HYCLATE,318,487611.5900000003
MIRTAZAPINE,438,434838.5400000002
LEXIVA,4,73891.73
HUMULIN R U-500,12,539262.01
ALENDRONATE SODIUM,597,241816.87000000014
ROPINIROLE HCL,309,174863.40999999992
METOLAZONE,125,112660.48999999998
CLOBETASOL PROPIONATE,149,1237913.5900000003
NITROFURANTOIN,84,72287.63000000002
BENAZEPRIL HCL,328,106792.29
CITALOPRAM HBR,677,249974.76000000015
LEVETIRACETAM,278,388717.03000000014
PRIMIDONE,138,95383.72000000002
PENICILLIN V POTASSIUM,74,13987.579999999996
NEXIUM I.V.,1,4392.54
PRAMIPEXOLE DIHYDROCHLORIDE,186,153214.40000000005
PROMETHAZINE HCL,157,55213.90999999999
INVOKANA,89,1343394.6600000004
NAMENDA XR,221,3627082.609999999
OLANZAPINE,217,375937.9400000001
ONDANSETRON HCL,234,110782.04999999996
FLUOXETINE HCL,559,332921.01999999984
LANTUS SOLOSTAR,425,8346416.719999996
OXYCONTIN,172,2983711.470000001
ZOSTAVAX,48,184877.89999999997
WARFARIN SODIUM,723,730417.0300000005
LEVOTHYROXINE SODIUM,999,3198895.440000001
RISPERIDONE,296,263983.32
KLOR-CON 8,23,18357.55
BUPROPION HCL,79,59531.689999999995
BACLOFEN,295,241671.90999999992
TORSEMIDE,139,82370.88999999998
HYDRALAZINE HCL,371,292906.0400000002
LITHIUM CARBONATE,98,24758.71
JANUVIA,419,8158267.38
LYRICA,443,5742340.8
OXYBUTYNIN CHLORIDE,304,269395.4199999997
CAPTOPRIL,46,84966.7
DILTIAZEM HCL,120,44581.030000000006
AMOXICILLIN-CLAVULANATE POTASS,406,133773.76000000004
LIDOCAINE,100,1550513.2999999998
PROPRANOLOL HCL,255,147338.68999999994
HYDROMORPHONE HCL,123,131062.48999999992
TOPIRAMATE,265,150441.16000000015
LETROZOLE,42,32594.880000000005
BUTALBITAL-ACETAMINOPHEN-CAFFE,86,101265.47000000004
KETOCONAZOLE,155,154916.53000000003
CEPHALEXIN,557,108310.34999999999
DICLOFENAC SODIUM,208,314582.25
AMITIZA,79,651033.1699999999
ALPHAGAN P,64,516889.74999999994
AZITHROMYCIN,775,236491.38000000018
AMOXICILLIN,707,97538.24
CARBAMAZEPINE,116,221828.92000000004
DOXEPIN HCL,116,74975.15999999999
MYRBETRIQ,81,977617.7000000003
VAGIFEM,35,213676.77000000005
LANTUS,360,6522930.599999996
HUMULIN 70-30,79,546039.7999999998
SURE COMFORT,29,15995.87
GLYCOPYRROLATE,18,15640.459999999997
NIFEDICAL XL,112,66400.13
IPRATROPIUM BROMIDE,99,72425.31
TRAVATAN Z,107,1218366.1299999994
NYSTATIN,197,145107.36000000013
NEXIUM,451,6499324.970000004
CRESTOR,597,11676511.249999989
VESICARE,188,1769502.2600000002
BD ULTRA-FINE PEN NEEDLE,301,463931.8700000001
ZETIA,328,4184540.0
ZONEGRAN,4,69912.63
MINOXIDIL,40,14621.68
GENTAMICIN SULFATE,36,27531.62
PHENOBARBITAL,67,43026.31
LEVOXYL,10,11210.98
IBANDRONATE SODIUM,96,211836.19999999998
CLORAZEPATE DIPOTASSIUM,45,18140.460000000003
DICLOFENAC POTASSIUM,30,27306.110000000004
FLOVENT DISKUS,10,38298.58000000001
BRIMONIDINE TARTRATE,108,473648.3
AVODART,101,729145.4900000003
HALOPERIDOL,112,189300.97999999998
TAMSULOSIN HCL,724,1838064.5700000008
NABUMETONE,96,71620.02999999996
HUMALOG KWIKPEN U-100,113,1965839.4200000004
LIALDA,35,562217.21
COUMADIN,49,100682.65999999999
ENOXAPARIN SODIUM,56,502711.59
FLUPHENAZINE HCL,34,15085.009999999997
PEG 3350-ELECTROLYTE,16,9827.01
INSULIN SYRINGE,293,178569.46999999994
CARISOPRODOL,122,62568.940000000024
VALACYCLOVIR,189,159088.20000000007
VALSARTAN-HYDROCHLOROTHIAZIDE,345,498576.77999999997
FLOVENT HFA,95,523665.48000000004
HUMULIN N,67,406003.2200000001
ATENOLOL,704,339276.3
ALFUZOSIN HCL ER,41,15507.169999999998
CLOTRIMAZOLE-BETAMETHASONE,171,155100.20999999996
IRBESARTAN-HYDROCHLOROTHIAZIDE,27,19784.140000000007
ISENTRESS,21,1230237.4000000001
VERAPAMIL HCL,54,30951.390000000003
QUINAPRIL HCL,171,86722.55000000002
BENICAR HCT,113,737076.6000000001
TERBINAFINE HCL,49,10690.319999999996
AMLODIPINE BESYLATE-BENAZEPRIL,245,334442.6999999999
LITHIUM CARBONATE ER,56,35018.25000000001
RANITIDINE HCL,582,334958.71999999974
BUTRANS,19,203224.81
METOCLOPRAMIDE HCL,152,34402.72000000001
DILANTIN,30,50027.57999999999
MUPIROCIN,200,80781.40999999997
OLANZAPINE-FLUOXETINE HCL,4,21671.82
DILTIAZEM ER,108,86591.99000000003
FENOFIBRATE,579,1345420.330000001
ARIPIPRAZOLE,127,2643321.2799999984
SUCRALFATE,148,120264.57999999999
CALCITONIN-SALMON,32,32832.19999999999
COLCRYS,64,397879.8600000002
NIACIN ER,94,343416.59999999986
GLYBURIDE,92,50520.409999999996
KLOR-CON M10,122,63903.64000000001
ISOSORBIDE DINITRATE,83,120714.92000000001
QUINAPRIL-HYDROCHLOROTHIAZIDE,15,9163.710000000001
SERTRALINE HCL,787,413539.5399999995
HALOPERIDOL DECANOATE,24,42455.22
SEROQUEL XR,91,1884603.880000001
PREMPRO,19,56640.61000000001
AMITRIPTYLINE HCL,450,329795.98000000004
PRAZOSIN HCL,60,42926.96999999999
TOLTERODINE TARTRATE ER,105,426009.26
GEMFIBROZIL,214,91600.42000000003
TIZANIDINE HCL,310,400843.9300000003
WELCHOL,75,710615.01
NIFEDIPINE ER,257,340213.24000000005
OXYCODONE HCL,420,827190.2499999999
SUMATRIPTAN SUCCINATE,126,134778.77
FLUDROCORTISONE ACETATE,48,20664.13
TESTOSTERONE CYPIONATE,38,34294.3
OXYCODONE HCL ER,7,52277.5
RAMIPRIL,244,147535.84999999998
AMLODIPINE-VALSARTAN,51,160636.16
ADVAIR HFA,41,312303.34
DIGITEK,40,33323.42000000001
MULTAQ,42,579451.81
ACYCLOVIR,154,127399.80000000005
CLOTRIMAZOLE,57,54124.45000000001
CLONIDINE,69,192925.04000000004
MEGESTROL ACETATE,55,46664.74999999999
BENZTROPINE MESYLATE,146,104596.78999999995
DESLORATADINE,15,13094.76
TEGRETOL XR,20,95968.93999999999
FLECAINIDE ACETATE,58,99537.72999999997
AMIODARONE HCL,247,189246.7700000002
TOVIAZ,55,303105.32999999996
LEXAPRO,12,49643.52
BENICAR,202,1748260.58
NORVIR,32,944407.0499999998
NORTRIPTYLINE HCL,203,64561.46
COMBIVENT RESPIMAT,159,1395870.3299999998
FLUOROMETHOLONE,19,50684.670000000006
PRADAXA,140,1832486.8500000003
ECONAZOLE NITRATE,39,271523.63999999996
PYRIDOSTIGMINE BROMIDE,16,38393.81
LOTEMAX,25,325718.88
TOBRAMYCIN-DEXAMETHASONE,39,111081.97000000002
PARICALCITOL,11,75751.52
CEFUROXIME,94,105467.46999999999
NEOMYCIN-POLYMYXIN-HC,10,6657.500000000001
TOLTERODINE TARTRATE,39,82443.24999999999
SEROSTIM,3,850756.9299999999
DESONIDE,35,165278.98
GALANTAMINE HBR,40,88459.58
LISINOPRIL-HYDROCHLOROTHIAZIDE,563,209803.60999999996
URSODIOL,47,373821.17999999993
SINGLE USE SWAB,26,3339.55
FENTANYL,268,1582868.079999999
METHOTREXATE,104,539276.7000000001
OFLOXACIN,60,75305.54
EXELON,107,1609372.04
LEVOFLOXACIN,496,190809.1000000002
OXCARBAZEPINE,110,148300.83
GLIPIZIDE ER,225,126178.62000000005
LUNESTA,2,8991.0
PREDNISOLONE ACETATE,80,600779.6300000001
AMANTADINE,49,121587.93
CARTIA XT,213,188713.86000000002
BETAMETHASONE DIPROPIONATE,60,93779.03000000001
DULERA,77,542559.2100000001
PREMARIN,175,834342.5300000001
LEVEMIR,107,1462553.7700000003
VICTOZA 2-PAK,44,440754.51999999996
CHOLESTYRAMINE,55,105324.60000000002
CANDESARTAN CILEXETIL,15,23397.43
TRAMADOL HCL-ACETAMINOPHEN,76,45642.760000000024
BROMFENAC SODIUM,6,22921.63
TELMISARTAN,68,124668.22000000004
CEFDINIR,63,56312.27000000001
K-TAB ER,18,31943.9
REPAGLINIDE,44,134363.33999999997
CEFADROXIL,34,7832.47
VICTOZA 3-PAK,78,1684228.36
GILENYA,10,3210832.76
COLCHICINE,73,283376.1399999999
VYTORIN,112,717405.92
FINASTERIDE,362,365875.50999999995
DORZOLAMIDE HCL,52,41177.249999999985
NEOMYCIN-POLYMYXIN-DEXAMETH,40,28937.460000000003
STRATTERA,11,78773.97
ALBUTEROL SULFATE,79,87302.60000000003
INVEGA,27,983187.31
DILT-XR,63,43360.310000000005
NYSTOP,68,55967.04
DIVALPROEX SODIUM ER,148,900528.4300000002
PHENYTOIN,39,29545.129999999994
ONGLYZA,76,688351.4199999999
JALYN,29,135636.73
MODAFINIL,28,222525.66
AMMONIUM LACTATE,52,47593.11
NEVIRAPINE ER,4,39579.02
KLOR-CON 10,59,28770.83
SOTALOL,112,50607.29
TEGRETOL,9,24797.86
QVAR,98,457759.77999999997
XENAZINE,5,1023848.7100000001
ORENCIA,13,1173966.99
XIFAXAN,27,1068961.9500000002
NADOLOL,58,116018.55
BRILINTA,36,283914.92999999993
APRISO,17,189758.23
GAVILYTE-G,21,11605.22
PHENYTOIN SODIUM,1,6177.02
TAMIFLU,51,218575.42999999996
COLESTIPOL HCL,32,63624.96000000001
SULFASALAZINE DR,8,15330.880000000001
CONSTULOSE,2,1275.92
LACTULOSE,150,96885.18
ENALAPRIL-HYDROCHLOROTHIAZIDE,20,3545.82
AZOPT,50,651441.36
COZAAR,1,1638.14
POTASSIUM CITRATE ER,32,123938.06
BREO ELLIPTA,45,396539.53
SENSIPAR,53,3105544.4099999997
ERYTHROMYCIN,51,55833.62999999999
LOSARTAN-HYDROCHLOROTHIAZIDE,474,288510.99000000017
ZONISAMIDE,29,49583.81
CLICKFINE,6,1543.26
NOVOLOG FLEXPEN,175,3052768.919999997
BRINTELLIX,25,229221.75999999998
NOVOLIN N,46,175961.25000000003
CLOZAPINE,85,442233.18
PEN NEEDLES,9,6187.4800000000005
CHLORHEXIDINE GLUCONATE,131,35056.73
TRIBENZOR,18,103355.66000000002
FORTEO,25,1341821.1399999997
PIPERACILLIN-TAZOBACTAM,2,4586.67
CARBIDOPA-LEVODOPA,182,265737.37999999995
EXFORGE,11,51641.869999999995
ROZEREM,21,99183.95999999998
DUREZOL,32,395331.61999999994
LANSOPRAZOLE,205,281936.94
NUEDEXTA,28,373368.1299999999
NORCO,4,21982.989999999998
AMILORIDE HCL,10,3665.79
CARAFATE,42,193721.14
METHADONE HCL,121,160204.33000000005
IPRATROPIUM-ALBUTEROL,74,72463.46
RENVELA,60,3721512.6899999995
BISOPROLOL FUMARATE,67,56695.65999999999
VENLAFAXINE HCL,123,93464.46000000004
VENTOLIN HFA,277,429278.0399999995
INVEGA SUSTENNA,39,2440415.7199999993
CHLORDIAZEPOXIDE HCL,8,1103.7099999999998
TRUVADA,39,3170418.1199999996
CARBAMAZEPINE ER,50,230208.36999999997
AGGRENOX,55,422659.8699999999
GAVILYTE-N,18,24705.560000000005
RANEXA,102,1136660.19
BALSALAZIDE DISODIUM,16,65651.97
LATUDA,54,1561759.8900000001
FENOFIBRIC ACID,55,159089.35999999996
JANTOVEN,101,29944.82999999999
OLANZAPINE ODT,24,137940.33
MEMANTINE HCL,117,281418.07999999996
VYVANSE,24,97654.79000000001
CICLOPIROX,52,93228.10999999999
LIOTHYRONINE SODIUM,48,48926.56999999999
BESIVANCE,10,151913.21999999997
COMBIGAN,89,883590.2499999999
ETODOLAC,58,86805.93
TELMISARTAN-HYDROCHLOROTHIAZID,27,56042.44000000001
NASONEX,89,451486.8599999998
ENABLEX,12,40597.51
METHYLPHENIDATE HCL,89,166308.63
PROPAFENONE HCL,34,24859.95
VOLTAREN,215,972233.1299999998
VITAMIN D2,8,6796.0
TRADJENTA,134,1745098.2600000005
RENAGEL,3,97875.6
AZOR,38,245499.97999999995
EFFIENT,42,477538.8300000001
CEFTRIAXONE,31,58658.14
DEXTROAMPHETAMINE-AMPHET ER,37,102376.10999999997
GENERLAC,15,3868.2400000000007
NITROGLYCERIN PATCH,69,49610.720000000016
LEUCOVORIN CALCIUM,5,4747.2
LINZESS,70,675289.84
DEPAKOTE,4,31397.99
RIZATRIPTAN,33,22213.299999999996
CALCIUM ACETATE,52,363914.81000000023
TECFIDERA,19,4265888.300000001
RESTASIS,115,3467656.050000001
NOVOLIN 70-30,87,503056.32999999996
MOVIPREP,15,57141.15
ESTRACE,38,187612.57999999996
ATRIPLA,24,1829725.8800000001
PRISTIQ ER,73,557014.9800000001
OMEGA-3 ACID ETHYL ESTERS,150,866755.5699999997
ANDROGEL,37,434220.84
HYDROXYCHLOROQUINE SULFATE,81,507771.2500000001
DIGOXIN,250,327166.28
LIPITOR,9,37670.18
DASETTA,1,215.65
ULORIC,68,522204.29
RALOXIFENE HCL,167,876622.0499999995
EASY TOUCH PEN NEEDLE,6,1959.8700000000001
DIOVAN,74,338748.58999999997
PROCRIT,19,603693.41
NEUPRO,10,156559.11999999997
PACERONE,4,6346.88
ENULOSE,17,11574.600000000004
FOSRENOL,6,190742.11000000002
TOPROL XL,91,118760.87
SILVER SULFADIAZINE,26,17054.210000000003
DALIRESP,40,368247.3300000001
SIMBRINZA,19,99972.72000000002
FAMCICLOVIR,10,11815.95
ATACAND,1,1524.6
ENDOCET,30,50985.59
NOVOFINE 32,28,26051.2
SPIRONOLACTONE-HCTZ,35,33966.34999999999
TRIFLUOPERAZINE HCL,18,16799.95
OPANA ER,21,344316.19
CILOSTAZOL,103,60271.589999999975
ATROPINE SULFATE,3,1689.58
HYDROCORTISONE,124,67245.48
CYMBALTA,19,75851.70999999999
TRIMETHOPRIM,32,16212.140000000001
BICALUTAMIDE,37,27481.420000000006
GLUCAGON EMERGENCY KIT,7,45131.95
PRANDIN,4,33490.590000000004
COMPLERA,11,840523.0999999999
SAVELLA,22,105665.84999999998
PATADAY,74,450625.96
HARVONI,22,27698415.929999996
PERPHENAZINE-AMITRIPTYLINE,8,9129.45
DAPSONE,10,7160.849999999999
SPIRIVA RESPIMAT,34,323653.33999999997
FLUOCINONIDE,54,202625.78999999995
KETOPROFEN,6,12318.63
NORETHINDRONE ACETATE,5,5964.33
LAMICTAL,17,249857.88000000003
NYAMYC,22,17107.390000000007
PROPRANOLOL HCL ER,114,188776.9499999999
ENBREL,31,4142575.8999999994
HUMULIN R,46,167498.86000000004
TAMOXIFEN CITRATE,52,62280.56
TRI-LINYAH,1,126.1
METHIMAZOLE,58,14867.189999999999
CHANTIX,19,72439.89000000001
DILAUDID,2,10183.02
MONOJECT INSULIN SAFETY SYRNG,3,2280.7699999999995
PORTIA,1,273.8
NOVOFINE AUTOCOVER,17,24283.109999999997
EXJADE,1,107014.07
EPITOL,15,12691.569999999998
INDOMETHACIN,18,6855.029999999999
ACARBOSE,18,24524.03
SUPREP,24,183636.41
BUPRENORPHINE-NALOXONE,14,164792.21000000002
RIVASTIGMINE,60,184089.25999999998
ISOSORBIDE MONONITRATE,19,3082.25
PERPHENAZINE,35,98311.79
LITHIUM,2,1065.72
RITALIN,3,4846.660000000001
LUMIGAN,108,1552565.56
VIIBRYD,34,177852.98
RISEDRONATE SODIUM,20,94599.90999999999
IMBRUVICA,8,1878626.1300000001
LIDOCAINE HCL,24,15548.909999999998
EPIPEN 2-PAK,6,93104.04999999999
ALPRAZOLAM ER,9,4222.33
PREZISTA,26,2069473.7099999993
REYATAZ,18,893269.71
SUSTIVA,12,281831.67000000004
DENTA 5000 PLUS,5,892.7299999999999
BETHANECHOL CHLORIDE,21,33961.0
LEVOCETIRIZINE DIHYDROCHLORIDE,93,60340.24999999996
ACETIC ACID,6,1849.13
PROCTOZONE-HC,27,40414.83
ZYTIGA,21,3952934.4799999995
SILDENAFIL,15,59933.16000000001
PHENYTEK,1,825.24
MINOCYCLINE HCL,40,19006.149999999998
ATENOLOL-CHLORTHALIDONE,75,32484.449999999997
ESZOPICLONE,64,79583.05
METHAZOLAMIDE,7,54979.71999999999
CLARITHROMYCIN,27,46602.920000000006
TIMOLOL MALEATE,122,237546.5899999999
ESTRING,6,38919.99
FOSINOPRIL SODIUM,73,15996.76
AMLODIPINE-ATORVASTATIN,15,64034.56000000002
PROGESTERONE,22,63515.84000000002
AZILECT,25,532882.1799999999
GLIPIZIDE-METFORMIN,43,107730.18
VERAPAMIL SR,13,8730.23
INDAPAMIDE,65,21710.96999999999
VASCEPA,8,451081.91000000003
VANCOMYCIN HCL,24,75193.00000000001
TARCEVA,12,1570249.3399999999
FANAPT,5,67078.26000000001
ZIOPTAN,6,19228.620000000003
BUDESONIDE EC,16,292003.67000000004
FLUPHENAZINE DECANOATE,6,18500.600000000002
RISPERIDONE ODT,10,35331.27
SULFASALAZINE,38,49663.89
TRANSDERM-SCOP,15,46053.08
MORPHINE SULFATE,90,68864.90999999997
ABACAVIR,11,102124.23
SANTYL,39,404139.93000000005
PLAVIX,17,54410.149999999994
METHOCARBAMOL,98,42062.31999999999
NYSTATIN-TRIAMCINOLONE,35,105023.93000000001
TRI-LEGEST FE,1,559.13
RISPERDAL CONSTA,31,778398.1599999999
RABEPRAZOLE SODIUM,25,33214.21
LETAIRIS,7,1254258.4000000001
IMIPRAMINE HCL,35,15017.089999999997
RIBAVIRIN,2,4725.53
NOVOFINE,11,8894.529999999999
NAPROXEN SODIUM,27,14034.710000000001
EASY COMFORT PEN NEEDLES,4,7182.239999999999
ATOVAQUONE,5,78026.28
AMPYRA,7,532510.9400000001
AVONEX PEN,4,402449.06
HYDROXYZINE PAMOATE,59,17902.379999999997
KALETRA,10,174680.3
PROLIA,8,203058.70999999996
INVANZ,11,82368.81000000001
LEFLUNOMIDE,24,125794.09
XOPENEX HFA,18,27696.62
RAPAFLO,43,614334.5000000001
XTANDI,11,2712360.33
VIMPAT,52,1037215.26
NUVIGIL,6,47018.09999999999
NESINA,1,6325.99
BYETTA,20,196817.91
MOMETASONE FUROATE,41,21491.61
COPAXONE,23,3422358.1100000003
PILOCARPINE HCL,37,105401.18999999999
LOXAPINE,15,14908.329999999996
CYTOMEL,2,5312.66
PERMETHRIN,15,31129.170000000002
HALOPERIDOL LACTATE,3,1831.4500000000003
SEROQUEL,2,25615.5
WELLBUTRIN SR,1,3855.17
PATANOL,34,334213.24000000005
TRANDOLAPRIL,20,7048.0599999999995
ADACEL TDAP,14,10934.560000000001
PREZCOBIX,1,15915.58
SILENOR,3,12988.84
VIAGRA,14,100341.97
JARDIANCE,4,30059.2
AMILORIDE-HYDROCHLOROTHIAZIDE,10,3508.5400000000004
MIDODRINE HCL,51,86231.51999999997
NORETHINDRONE,3,683.87
LEUKERAN,1,3224.94
FLUOCINOLONE ACETONIDE,16,68767.9
ASACOL HD,27,415672.93999999994
DILTIAZEM 12HR ER,9,12970.609999999999
ULTICARE,11,11925.190000000002
LAMIVUDINE,15,73748.73000000001
PROMETHEGAN,2,11901.619999999999
VIRACEPT,1,11654.82
NOVOLIN R,34,134540.12
LASIX,2,993.98
EDARBYCLOR,7,46283.12
LIDODERM,28,220792.76
DRONABINOL,7,71624.70000000001
ATELVIA,7,48129.49999999999
LIDOCAINE HCL VISCOUS,12,2116.19
XULANE,1,1197.6
GUANFACINE HCL,12,2578.7
METOPROLOL-HYDROCHLOROTHIAZIDE,9,8687.51
TUDORZA PRESSAIR,27,204690.13999999996
PROCTOSOL-HC,23,26132.960000000006
GATIFLOXACIN,6,87280.23
RETIN-A,2,3541.2
OXYMORPHONE HCL ER,19,230102.63
TOBRAMYCIN,12,4415.610000000001
OTEZLA,5,158348.74
CLINDAMYCIN PHOSPHATE,28,47651.80000000001
FLUVOXAMINE MALEATE,33,22191.56
TACROLIMUS,16,159599.66
NEOMYCIN-POLYMYXIN-HYDROCORT,11,4000.5700000000006
PERCOCET,6,119171.05
DICLOFENAC SODIUM ER,15,8424.58
CEFEPIME HCL,7,13485.630000000001
TRIHEXYPHENIDYL HCL,26,10860.6
EXEMESTANE,18,237550.62999999998
MYCOPHENOLATE MOFETIL,35,111108.83
VIREAD,16,413382.67999999993
UNITHROID,1,613.11
VGO 40,2,6674.28
CORTEF,1,2144.56
JANUMET,109,1399520.4399999997
PATANASE,1,12568.47
ZALEPLON,24,18310.470000000005
PREVIDENT,6,957.69
KETOROLAC TROMETHAMINE,48,83920.28000000001
VORICONAZOLE,4,120128.28
EDURANT,2,159435.66999999998
CEFPROZIL,8,10551.119999999999
DESMOPRESSIN ACETATE,31,48564.13
BYDUREON,15,176214.74999999997
PHENAZOPYRIDINE HCL,8,9068.48
XELJANZ,5,505807.1
PERINDOPRIL ERBUMINE,4,2645.44
CODEINE SULFATE,2,1310.9
LIVALO,28,116411.79000000001
RELPAX,9,39662.5
CLOBETASOL EMOLLIENT,6,13748.429999999998
TRIAZOLAM,12,6262.880000000001
ORPHENADRINE CITRATE,13,7541.999999999999
ROPINIROLE ER,15,63314.850000000006
MICARDIS,7,18453.29
ADVICOR,3,21020.66
EPZICOM,19,688013.83
LIDOCAINE-PRILOCAINE,56,546083.19
